term	gene
K01897	XP_005698540.1
K20031	XP_005698542.2
K20031	XP_005698543.2
K20031	XP_005698545.2
K08493	XP_005698546.1
K24421	XP_005698551.2
K08648	XP_005698553.2
K04397	XP_005698554.1
K15340	XP_005698557.2
K07520	XP_005698564.1
K25624	XP_005698567.1
K14073	XP_005698571.1
K14075	XP_005698572.1
K27394	XP_005698575.2
K12484	XP_005698580.1
K20011	XP_005698590.2
K08291	XP_005698592.2
K16449	XP_005698593.1
K13201	XP_005698596.1
K21798	XP_005698601.3
K24260	XP_005698605.2
K24260	XP_005698606.2
K10487	XP_005698621.1
K23796	XP_005698622.2
K10837	XP_005698633.1
K09220	XP_005698635.1
K09220	XP_005698636.1
K09478	XP_005698637.1
K08639	XP_005698642.2
K11862	XP_005698648.1
K15262	XP_005698651.2
K23841	XP_005698657.1
K17582	XP_005698658.2
K20007	XP_005698675.2
K09317	XP_005698677.2
K04257	XP_005698729.1
K25616	XP_005698740.2
K10327	XP_005698741.1
K10436	XP_005698752.2
K01493	XP_005698761.1
K20308	XP_005698763.2
K08743	XP_005698766.2
K10153	XP_005698767.1
K10153	XP_005698768.1
K01897	XP_005698773.2
K01897	XP_005698774.2
K01897	XP_005698775.1
K23353	XP_005698782.1
K02889	XP_005698786.2
K23708	XP_005698793.1
K01324	XP_005698800.1
K01323	XP_005698802.2
K12038	XP_005698803.1
K06087	XP_005698807.3
K06087	XP_005698808.2
K13122	XP_005698821.1
K25536	XP_005698823.1
K25716	XP_005698828.1
K06558	XP_005698833.2
K20632	XP_005698836.2
K18416	XP_005698848.2
K07189	XP_005698852.2
K10799	XP_005698853.2
K10428	XP_005698856.1
K09669	XP_005698873.1
K14831	XP_005698876.1
K26405	XP_005698878.2
K05274	XP_005698879.1
K23341	XP_005698880.2
K15197	XP_005698882.2
K14454	XP_005698883.1
K12620	XP_005698887.1
K11425	XP_005698890.1
K06834	XP_005698901.1
K16070	XP_005698902.2
K06833	XP_005698903.1
K06833	XP_005698904.1
K04358	XP_005698909.2
K06087	XP_005698913.3
K00463	XP_005698937.1
K10735	XP_005698943.2
K01343	XP_005698947.2
K23203	XP_005698952.1
K08528	XP_005698983.1
K08362	XP_005698984.1
K14300	XP_005699010.2
K21848	XP_005699025.2
K19986	XP_005699029.3
K09592	XP_005699030.3
K24051	XP_005699031.1
K24051	XP_005699032.1
K06928	XP_005699036.1
K17534	XP_005699037.3
K18179	XP_005699039.1
K14837	XP_005699041.1
K21768	XP_005699045.2
K21768	XP_005699047.2
K14550	XP_005699052.2
K00649	XP_005699063.2
K22989	XP_005699075.2
K14569	XP_005699082.2
K14569	XP_005699085.2
K14569	XP_005699086.2
K14569	XP_005699087.2
K13359	XP_005699095.1
K24497	XP_005699105.1
K02978	XP_005699108.1
K02087	XP_005699112.1
K02087	XP_005699113.1
K02087	XP_005699114.1
K02087	XP_005699115.1
K07868	XP_005699121.1
K07868	XP_005699122.1
K25644	XP_005699123.2
K25857	XP_005699125.1
K18754	XP_005699130.2
K02929	XP_005699147.2
K09532	XP_005699151.1
K17414	XP_005699152.1
K22028	XP_005699161.2
K09083	XP_005699164.2
K12898	XP_005699165.1
K12898	XP_005699166.1
K10742	XP_005699175.2
K25827	XP_005699177.1
K13183	XP_005699180.1
K16911	XP_005699183.2
K23845	XP_005699184.2
K06849	XP_005699185.1
K06849	XP_005699186.1
K18466	XP_005699187.3
K17675	XP_005699188.1
K04223	XP_005699192.1
K04666	XP_005699204.2
K07818	XP_005699208.1
K01634	XP_005699211.1
K12382	XP_005699215.3
K23268	XP_005699224.1
K25229	XP_005699226.1
K25229	XP_005699227.1
K18666	XP_005699228.1
K18666	XP_005699229.1
K08270	XP_005699230.1
K09518	XP_005699231.2
K09518	XP_005699232.2
K09518	XP_005699233.2
K22827	XP_005699234.1
K22827	XP_005699235.1
K24431	XP_005699237.1
K01047	XP_005699239.1
K01047	XP_005699240.1
K00472	XP_005699241.1
K00472	XP_005699242.1
K03426	XP_005699246.1
K09529	XP_005699253.1
K02959	XP_005699257.1
K24932	XP_005699258.1
K17656	XP_005699263.2
K26050	XP_005699271.1
K26050	XP_005699272.1
K14007	XP_005699273.1
K14007	XP_005699274.1
K01348	XP_005699278.2
K05700	XP_005699280.1
K12398	XP_005699282.1
K12398	XP_005699283.1
K00856	XP_005699284.1
K14165	XP_005699292.2
K03018	XP_005699304.2
K02974	XP_005699305.2
K02974	XP_005699306.2
K02974	XP_005699307.2
K02974	XP_005699308.2
K02974	XP_005699310.2
K10068	XP_005699317.2
K03991	XP_005699322.1
K00789	XP_005699327.2
K11257	XP_005699351.2
K25387	XP_005699361.1
K25163	XP_005699368.1
K24202	XP_005699373.2
K21408	XP_005699374.1
K00261	XP_005699375.2
K17096	XP_005699386.1
K23911	XP_005699390.1
K05503	XP_005699391.1
K22674	XP_005699392.3
K24777	XP_005699404.2
K07759	XP_005699413.2
K09289	XP_005699414.1
K09289	XP_005699415.1
K09289	XP_005699416.1
K09289	XP_005699417.1
K04257	XP_005699422.2
K27679	XP_005699424.2
K11830	XP_005699428.1
K09821	XP_005699430.1
K12019	XP_005699473.1
K12019	XP_005699480.2
K21423	XP_005699483.2
K07923	XP_005699488.1
K18041	XP_005699495.1
K23327	XP_005699498.1
K18157	XP_005699514.2
K18165	XP_005699515.1
K17593	XP_005699527.1
K14400	XP_005699532.1
K07917	XP_005699535.1
K10418	XP_005699538.1
K01285	XP_005699540.1
K01285	XP_005699544.1
K04008	XP_005699546.1
K21922	XP_005699549.2
K03849	XP_005699550.1
K21917	XP_005699552.1
K13141	XP_005699553.1
K05019	XP_005699555.1
K09870	XP_005699557.2
K04409	XP_005699559.2
K12302	XP_005699569.1
K09391	XP_005699576.2
K09377	XP_005699577.1
K15193	XP_005699581.2
K00016	XP_005699589.1
K20191	XP_005699597.2
K03141	XP_005699598.1
K17310	XP_005699600.2
K04257	XP_005699604.2
K04257	XP_005699605.2
K04257	XP_005699606.2
K04257	XP_005699607.2
K04257	XP_005699609.2
K04257	XP_005699610.2
K04257	XP_005699611.2
K24510	XP_005699612.1
K04257	XP_005699613.1
K17587	XP_005699615.1
K04257	XP_005699617.2
K04257	XP_005699618.2
K04257	XP_005699619.2
K04257	XP_005699620.2
K04257	XP_005699621.2
K04257	XP_005699622.2
K04257	XP_005699623.2
K04257	XP_005699624.2
K04257	XP_005699625.2
K04257	XP_005699626.1
K04257	XP_005699627.2
K04257	XP_005699628.3
K04257	XP_005699629.2
K20857	XP_005699630.1
K25633	XP_005699636.1
K06787	XP_005699638.2
K26674	XP_005699643.1
K26674	XP_005699645.1
K07151	XP_005699649.1
K02216	XP_005699650.2
K25373	XP_005699653.2
K01855	XP_005699659.2
K01855	XP_005699661.2
K01855	XP_005699663.2
K16472	XP_005699664.1
K16472	XP_005699666.1
K13431	XP_005699669.2
K18166	XP_005699674.2
K12584	XP_005699675.1
K12584	XP_005699676.1
K04995	XP_005699685.1
K04999	XP_005699686.2
K09361	XP_005699687.2
K24643	XP_005699695.1
K22190	XP_005699705.1
K22190	XP_005699706.1
K22190	XP_005699708.1
K14822	XP_005699711.2
K06455	XP_005699716.1
K06002	XP_005699717.2
K06002	XP_005699719.1
K06002	XP_005699720.2
K06002	XP_005699721.1
K06002	XP_005699722.1
K06002	XP_005699723.2
K06002	XP_005699726.1
K06002	XP_005699727.2
K04257	XP_005699738.2
K04257	XP_005699740.1
K04257	XP_005699741.2
K04257	XP_005699742.2
K04257	XP_005699743.1
K04257	XP_005699744.1
K04257	XP_005699745.2
K04257	XP_005699746.2
K04257	XP_005699747.2
K04257	XP_005699748.3
K04257	XP_005699749.3
K04257	XP_005699750.2
K04257	XP_005699751.1
K04257	XP_005699754.2
K04257	XP_005699755.1
K04257	XP_005699759.2
K04257	XP_005699761.2
K04257	XP_005699762.2
K04257	XP_005699763.1
K04257	XP_005699765.2
K04257	XP_005699766.2
K25370	XP_005699773.1
K08623	XP_005699784.2
K06002	XP_005699795.1
K06002	XP_005699798.1
K10610	XP_005699799.2
K22867	XP_005699801.1
K22867	XP_005699802.1
K22867	XP_005699805.1
K16295	XP_005699808.1
K19385	XP_005699813.1
K18168	XP_005699818.1
K26502	XP_005699820.1
K04799	XP_005699821.2
K25466	XP_005699828.1
K25467	XP_005699829.1
K03233	XP_005699833.1
K05546	XP_005699835.1
K05546	XP_005699836.1
K00614	XP_005699839.1
K00614	XP_005699840.1
K24348	XP_005699842.2
K24348	XP_005699843.3
K24930	XP_005699848.1
K03015	XP_005699849.1
K14841	XP_005699854.1
K06519	XP_005699856.1
K08203	XP_005699858.2
K08205	XP_005699861.2
K08206	XP_005699862.2
K08206	XP_005699864.2
K08206	XP_005699866.1
K08206	XP_005699867.1
K06002	XP_005699870.2
K17344	XP_005699879.2
K27342	XP_005699884.2
K08206	XP_005699889.3
K17339	XP_005699894.1
K09602	XP_005699899.1
K10669	XP_005699901.2
K26954	XP_005699902.2
K09524	XP_005699904.2
K09569	XP_005699906.1
K22989	XP_005699910.1
K11187	XP_005699913.2
K08552	XP_005699916.1
K00688	XP_005699921.2
K11584	XP_005699923.1
K25483	XP_005699926.1
K09034	XP_005699927.1
K07943	XP_005699928.1
K17927	XP_005699930.1
K17390	XP_005699932.1
K00222	XP_005699939.2
K02983	XP_005699942.1
K17430	XP_005699943.2
K02321	XP_005699946.2
K13196	XP_005699947.1
K08569	XP_005699959.2
K26161	XP_005699961.1
K04502	XP_005699962.2
K21752	XP_005699965.2
K15025	XP_005699967.1
K21870	XP_005699968.1
K20362	XP_005699975.1
K19196	XP_005699976.1
K21032	XP_005699977.2
K26457	XP_005699978.1
K02867	XP_005699979.1
K01277	XP_005699982.2
K01277	XP_005699983.2
K04569	XP_005699990.1
K13187	XP_005699992.1
K03505	XP_005700002.1
K17767	XP_005700004.1
K23531	XP_005700008.1
K23531	XP_005700009.1
K17555	XP_005700025.3
K25643	XP_005700029.1
K08207	XP_005700031.2
K16734	XP_005700040.2
K16889	XP_005700059.1
K06706	XP_005700064.3
K02888	XP_005700095.3
K06566	XP_005700140.2
K03039	XP_005700142.1
K11413	XP_005700144.3
K25636	XP_005700146.2
K25465	XP_005700147.1
K17295	XP_005700175.1
K26188	XP_005700187.2
K26188	XP_005700188.2
K26190	XP_005700189.1
K26190	XP_005700190.1
K26187	XP_005700194.1
K26187	XP_005700195.1
K12898	XP_005700198.2
K12898	XP_005700199.2
K01189	XP_005700200.1
K02929	XP_005700201.1
K07370	XP_005700202.1
K03132	XP_005700204.2
K11501	XP_005700206.2
K26241	XP_005700207.1
K26809	XP_005700208.1
K14407	XP_005700212.3
K17598	XP_005700213.2
K17598	XP_005700214.2
K17598	XP_005700215.2
K11252	XP_005700216.2
K14284	XP_005700221.2
K23386	XP_005700230.2
K20734	XP_005700231.2
K24043	XP_005700238.1
K17271	XP_005700240.1
K11342	XP_005700243.1
K11342	XP_005700244.1
K11342	XP_005700245.1
K11342	XP_005700246.1
K11342	XP_005700247.1
K19951	XP_005700262.1
K06087	XP_005700263.1
K14306	XP_005700268.1
K06694	XP_005700277.2
K08342	XP_005700279.1
K06237	XP_005700282.1
K06237	XP_005700283.1
K24253	XP_005700286.1
K11252	XP_005700290.1
K08575	XP_005700306.1
K23893	XP_005700314.1
K04157	XP_005700316.1
K05047	XP_005700319.2
K20241	XP_005700324.1
K24996	XP_005700338.1
K10573	XP_005700341.1
K02924	XP_005700348.1
K13127	XP_005700351.2
K25718	XP_005700372.1
K23971	XP_005700382.1
K10507	XP_005700391.2
K06528	XP_005700396.1
K10609	XP_005700401.1
K07575	XP_005700402.1
K07575	XP_005700403.1
K09653	XP_005700404.1
K09653	XP_005700405.1
K09653	XP_005700406.1
K04725	XP_005700410.1
K07990	XP_005700416.1
K23706	XP_005700428.1
K14567	XP_005700431.1
K04727	XP_005700435.1
K08424	XP_005700438.1
K15106	XP_005700440.1
K15106	XP_005700441.1
K11850	XP_005700446.1
K04257	XP_005700449.2
K04257	XP_005700452.3
K11803	XP_005700455.2
K11803	XP_005700456.2
K25478	XP_005700460.1
K09230	XP_005700461.1
K09230	XP_005700462.1
K09229	XP_005700464.1
K09229	XP_005700465.1
K12041	XP_005700472.2
K04170	XP_005700478.2
K03161	XP_005700481.1
K05729	XP_005700482.2
K08423	XP_005700485.1
K01321	XP_005700488.1
K25835	XP_005700501.2
K24127	XP_005700502.2
K27700	XP_005700507.2
K15516	XP_005700512.1
K04287	XP_005700539.2
K23952	XP_005700540.1
K04949	XP_005700544.1
K05192	XP_005700547.1
K10840	XP_005700548.2
K07748	XP_005700549.2
K07748	XP_005700550.2
K07748	XP_005700551.2
K24127	XP_005700560.1
K24127	XP_005700561.2
K24127	XP_005700562.1
K24127	XP_005700565.3
K03899	XP_005700585.2
K05022	XP_005700591.2
K02893	XP_005700592.2
K00474	XP_005700593.1
K00474	XP_005700594.1
K17384	XP_005700596.1
K08515	XP_005700597.1
K09228	XP_005700610.2
K23386	XP_005700611.2
K07925	XP_005700616.2
K11251	XP_005700617.2
K17336	XP_005700622.1
K17336	XP_005700623.1
K02891	XP_005700628.3
K23460	XP_005700632.1
K23917	XP_005700634.1
K24376	XP_005700635.1
K09365	XP_005700642.2
K23740	XP_005700643.1
K17045	XP_005700645.1
K17045	XP_005700646.1
K11798	XP_005700648.2
K23035	XP_005700652.1
K04275	XP_005700654.1
K04322	XP_005700656.1
K00927	XP_005700658.1
K17686	XP_005700659.1
K02271	XP_005700660.1
K24127	XP_005700667.2
K20028	XP_005700668.1
K05662	XP_005700670.1
K08231	XP_005700677.3
K09250	XP_005700678.1
K14722	XP_005700684.1
K10186	XP_005700686.2
K20119	XP_005700688.3
K09312	XP_005700695.1
K02987	XP_005700707.2
K09579	XP_005700708.1
K20093	XP_005700709.2
K07863	XP_005700718.2
K16735	XP_005700720.1
K13214	XP_005700722.1
K07620	XP_005700728.1
K07620	XP_005700733.1
K05070	XP_005700738.1
K12358	XP_005700742.1
K17918	XP_005700744.3
K01124	XP_005700754.1
K01124	XP_005700755.1
K24061	XP_005700759.1
K13801	XP_005700761.1
K11171	XP_005700762.1
K11172	XP_005700763.1
K17606	XP_005700764.3
K18342	XP_005700767.1
K11156	XP_005700768.1
K10633	XP_005700770.1
K22943	XP_005700774.1
K02149	XP_005700787.1
K16521	XP_005700789.1
K11366	XP_005700792.1
K17453	XP_005700794.3
K10163	XP_005700796.2
K04511	XP_005700806.2
K13101	XP_005700809.1
K22991	XP_005700811.1
K22991	XP_005700812.1
K20392	XP_005700814.3
K27567	XP_005700819.1
K08806	XP_005700821.2
K12865	XP_005700827.1
K12865	XP_005700828.1
K12865	XP_005700829.1
K15272	XP_005700833.1
K17795	XP_005700834.1
K24739	XP_005700839.1
K24739	XP_005700840.1
K13186	XP_005700842.1
K13186	XP_005700843.1
K13186	XP_005700845.1
K13186	XP_005700846.1
K01824	XP_005700847.1
K00181	XP_005700848.1
K00181	XP_005700849.1
K00181	XP_005700850.1
K14864	XP_005700851.1
K25707	XP_005700856.1
K05163	XP_005700870.1
K18272	XP_005700871.1
K01053	XP_005700873.1
K01053	XP_005700874.1
K11351	XP_005700876.1
K16451	XP_005700893.2
K08845	XP_005700894.1
K15412	XP_005700896.1
K26537	XP_005700899.1
K15161	XP_005700907.2
K19822	XP_005700908.1
K05763	XP_005700910.1
K16912	XP_005700911.1
K16912	XP_005700912.1
K06636	XP_005700925.2
K08683	XP_005700926.1
K08867	XP_005700948.1
K14165	XP_005700960.1
K25688	XP_005700961.1
K16833	XP_005700963.1
K08383	XP_005700964.1
K08420	XP_005700965.1
K11594	XP_005700967.1
K11594	XP_005700968.1
K11840	XP_005700970.1
K11840	XP_005700971.1
K22138	XP_005700973.1
K17598	XP_005700979.1
K21421	XP_005700981.1
K00522	XP_005701004.2
K24127	XP_005701006.2
K16271	XP_005701015.2
K18532	XP_005701022.2
K24127	XP_005701036.1
K17491	XP_005701037.1
K24127	XP_005701038.2
K03242	XP_005701053.1
K00657	XP_005701055.1
K09201	XP_005701058.1
K24209	XP_005701059.1
K04373	XP_005701063.1
K03236	XP_005701066.1
K03386	XP_005701081.3
K21869	XP_005701083.2
K07765	XP_005701085.2
K02958	XP_005701087.1
K14734	XP_005701114.1
K04169	XP_005701117.1
K24273	XP_005701123.3
K01672	XP_005701124.1
K09708	XP_005701129.2
K08896	XP_005701131.1
K05449	XP_005701133.1
K10333	XP_005701134.1
K10331	XP_005701141.2
K02987	XP_005701142.2
K13136	XP_005701153.1
K16480	XP_005701158.1
K16480	XP_005701159.1
K20301	XP_005701161.1
K05404	XP_005701169.1
K01764	XP_005701176.2
K08285	XP_005701179.1
K01376	XP_005701187.1
K27702	XP_005701197.2
K27702	XP_005701199.1
K27702	XP_005701200.1
K27702	XP_005701201.1
K27702	XP_005701202.1
K16185	XP_005701204.1
K26215	XP_005701206.1
K04119	XP_005701213.1
K06002	XP_005701220.1
K06002	XP_005701221.1
K06002	XP_005701223.1
K06002	XP_005701224.2
K25746	XP_005701229.1
K06002	XP_005701231.1
K06002	XP_005701235.2
K04257	XP_005701240.2
K04257	XP_005701241.1
K04257	XP_005701242.2
K04257	XP_005701243.2
K04257	XP_005701244.2
K04257	XP_005701245.2
K04257	XP_005701248.2
K04257	XP_005701249.2
K04257	XP_005701250.1
K04257	XP_005701252.1
K11157	XP_005701260.2
K13126	XP_005701262.1
K11252	XP_005701263.2
K04257	XP_005701272.2
K04257	XP_005701273.3
K09653	XP_005701281.1
K14350	XP_005701282.1
K19482	XP_005701314.1
K22367	XP_005701318.1
K01312	XP_005701320.1
K04257	XP_005701336.2
K03982	XP_005701338.1
K19028	XP_005701352.1
K19028	XP_005701353.1
K10772	XP_005701356.1
K00643	XP_005701359.2
K04257	XP_005701373.2
K04257	XP_005701374.1
K04257	XP_005701376.2
K04257	XP_005701377.1
K04257	XP_005701378.1
K04257	XP_005701380.2
K04257	XP_005701382.1
K04257	XP_005701383.2
K04257	XP_005701387.2
K04257	XP_005701390.2
K04257	XP_005701391.2
K04257	XP_005701392.2
K04257	XP_005701393.1
K07210	XP_005701396.3
K05066	XP_005701409.2
K05078	XP_005701419.3
K07415	XP_005701432.1
K08131	XP_005701447.1
K09092	XP_005701451.3
K09086	XP_005701454.2
K04257	XP_005701455.2
K21093	XP_005701461.3
K21092	XP_005701462.3
K05511	XP_005701463.2
K05511	XP_005701464.2
K05408	XP_005701465.2
K05408	XP_005701466.1
K20914	XP_005701472.2
K12019	XP_005701480.2
K02987	XP_005701485.2
K04257	XP_005701488.2
K04257	XP_005701491.3
K04257	XP_005701492.2
K04257	XP_005701499.1
K04257	XP_005701500.1
K04257	XP_005701501.1
K04257	XP_005701502.1
K04257	XP_005701504.2
K04257	XP_005701506.2
K04257	XP_005701507.3
K04257	XP_005701508.2
K10485	XP_005701515.2
K04525	XP_005701517.2
K04525	XP_005701519.3
K05759	XP_005701524.1
K10334	XP_005701525.2
K04257	XP_005701535.2
K04257	XP_005701536.1
K04257	XP_005701537.2
K04257	XP_005701538.2
K04257	XP_005701539.2
K04257	XP_005701541.2
K04257	XP_005701542.2
K04257	XP_005701545.2
K04257	XP_005701546.1
K11252	XP_005701548.2
K04257	XP_005701553.2
K04257	XP_005701554.2
K04257	XP_005701555.1
K04257	XP_005701556.2
K04257	XP_005701557.2
K04257	XP_005701560.2
K27761	XP_005701564.2
K22191	XP_005701573.1
K00699	XP_005701577.1
K07986	XP_005701585.2
K00699	XP_005701598.2
K04257	XP_005701600.2
K04257	XP_005701602.2
K04257	XP_005701603.2
K04257	XP_005701605.2
K04257	XP_005701606.1
K04257	XP_005701608.2
K04257	XP_005701609.2
K04257	XP_005701611.2
K01319	XP_005701622.2
K01353	XP_005701627.2
K01353	XP_005701629.2
K04257	XP_005701632.2
K04257	XP_005701633.2
K04257	XP_005701634.2
K06752	XP_005701637.2
K06448	XP_005701643.2
K19536	XP_005701648.1
K01134	XP_005701653.1
K23755	XP_005701658.2
K04257	XP_005701665.2
K04257	XP_005701687.2
K04257	XP_005701688.2
K04257	XP_005701689.1
K04257	XP_005701690.2
K04257	XP_005701691.2
K04257	XP_005701692.2
K07424	XP_005701695.2
K24190	XP_005701698.1
K04257	XP_005701712.2
K04257	XP_005701713.2
K04257	XP_005701714.2
K04257	XP_005701715.2
K04257	XP_005701716.2
K04257	XP_005701718.2
K04257	XP_005701719.2
K04257	XP_005701720.2
K04257	XP_005701722.2
K00699	XP_005701730.1
K00699	XP_005701732.2
K00699	XP_005701735.2
K00699	XP_005701737.2
K11252	XP_005701748.2
K11254	XP_005701750.1
K11252	XP_005701751.1
K11252	XP_005701752.1
K04257	XP_005701753.1
K25383	XP_005701762.1
K25725	XP_005701764.2
K16760	XP_005701767.2
K04251	XP_005701795.1
K00615	XP_005701797.1
K00615	XP_005701798.1
K27773	XP_005701809.1
K27773	XP_005701810.1
K02910	XP_005701821.1
K13135	XP_005701830.2
K22287	XP_005701831.1
K04257	XP_005701862.2
K04257	XP_005701863.2
K13511	XP_005701872.1
K04257	XP_005701885.3
K04257	XP_005701887.2
K00699	XP_005701891.3
K04257	XP_005701900.2
K07605	XP_005701905.1
K07605	XP_005701906.2
K07605	XP_005701908.2
K04257	XP_005701915.2
K04257	XP_005701917.2
K22518	XP_005701932.3
K04257	XP_005701940.2
K04257	XP_005701941.2
K11252	XP_005701946.2
K24127	XP_005701949.2
K12019	XP_005701969.2
K24127	XP_005701970.2
K27760	XP_005702009.3
K04257	XP_005702011.1
K04257	XP_005702012.2
K11877	XP_005702017.1
K04257	XP_005702033.2
K04257	XP_005702038.2
K04257	XP_005702041.2
K24127	XP_005702072.2
K24127	XP_005702087.1
K24127	XP_005702088.1
K24127	XP_005702089.1
K08397	XP_005702111.2
K11251	XP_005702134.2
K08811	XP_005702135.3
K13126	XP_005702160.1
K04257	XP_005702173.2
K04506	XP_005702184.2
K04257	XP_005702186.2
K04257	XP_005702205.2
K04257	XP_005702206.3
K01027	XP_005702213.2
K04257	XP_005702225.2
K15161	XP_005709416.2
K12879	XP_005709439.2
K02842	XP_005709443.3
K11565	XP_005709460.2
K02934	XP_005709463.3
K03676	XP_005709470.2
K18495	XP_005709472.2
K24892	XP_005709480.2
K27568	XP_005709481.2
K02922	XP_005709486.2
K04325	XP_005709535.2
K11288	XP_005709538.3
K04187	XP_005709555.2
K02941	XP_005709583.3
K08880	XP_005709584.2
K25640	XP_005709603.2
K10652	XP_005709605.3
K15191	XP_005709608.2
K06527	XP_005709616.3
K14525	XP_005709621.3
K04271	XP_005709624.2
K07754	XP_005709626.3
K01816	XP_005709634.3
K17561	XP_005709653.3
K24943	XP_005709666.3
K05421	XP_005709667.2
K15451	XP_005709668.3
K23400	XP_005709670.2
K11281	XP_005709674.3
K09547	XP_005709675.2
K12885	XP_005709676.3
K11283	XP_005709678.3
K24552	XP_005709680.2
K11280	XP_005709681.1
K02879	XP_005709701.2
K26145	XP_005709717.2
K20096	XP_005709722.3
K00128	XP_005709726.3
K22470	XP_005709728.2
K27587	XP_005709754.3
K17288	XP_005709759.3
K00993	XP_005709762.2
K08609	XP_005709775.1
K13534	XP_005709796.3
K26231	XP_005709811.2
K22077	XP_005709824.3
K08811	XP_013817744.2
K04257	XP_013817794.2
K24127	XP_013817810.2
K18406	XP_013817860.1
K18406	XP_013817861.1
K02939	XP_013817864.2
K22594	XP_013817871.1
K26390	XP_013817875.2
K06842	XP_013817876.2
K06842	XP_013817878.2
K01368	XP_013817887.2
K23369	XP_013817888.2
K01868	XP_013817889.2
K23867	XP_013817892.2
K23867	XP_013817893.2
K01672	XP_013817901.1
K18085	XP_013817904.2
K11252	XP_013817906.1
K11251	XP_013817909.2
K04257	XP_013817911.2
K12876	XP_013817917.1
K16673	XP_013817918.2
K24057	XP_013817921.2
K07614	XP_013817922.1
K00485	XP_013817924.2
K07199	XP_013817925.1
K00070	XP_013817927.1
K25393	XP_013817938.2
K16549	XP_013817940.2
K16549	XP_013817941.2
K16549	XP_013817942.2
K16549	XP_013817945.2
K11517	XP_013817950.1
K11517	XP_013817951.1
K06747	XP_013817953.2
K06492	XP_013817957.2
K20526	XP_013817960.1
K08211	XP_013817965.2
K18024	XP_013817977.1
K24609	XP_013817978.1
K08179	XP_013817979.1
K25542	XP_013817980.2
K18422	XP_013817985.1
K00182	XP_013817993.1
K04353	XP_013817995.1
K04268	XP_013817996.1
K23220	XP_013818000.2
K13190	XP_013818006.2
K05453	XP_013818011.1
K01490	XP_013818013.2
K21443	XP_013818022.1
K12850	XP_013818029.1
K07522	XP_013818035.2
K16490	XP_013818041.2
K13157	XP_013818044.1
K01196	XP_013818053.1
K20242	XP_013818078.2
K20242	XP_013818079.2
K20242	XP_013818080.2
K02214	XP_013818086.1
K26405	XP_013818088.1
K05030	XP_013818107.2
K01158	XP_013818109.1
K20655	XP_013818133.2
K02880	XP_013818135.1
K04593	XP_013818159.1
K04595	XP_013818160.1
K13210	XP_013818163.1
K24536	XP_013818167.1
K05956	XP_013818170.2
K24723	XP_013818190.1
K25461	XP_013818193.1
K12899	XP_013818201.2
K15281	XP_013818204.1
K20065	XP_013818217.1
K20065	XP_013818219.1
K00778	XP_013818227.2
K25000	XP_013818233.2
K25000	XP_013818234.2
K25000	XP_013818235.2
K07418	XP_013818243.2
K00875	XP_013818247.2
K00875	XP_013818248.2
K11865	XP_013818251.2
K11865	XP_013818252.2
K19331	XP_013818255.2
K01881	XP_013818257.1
K00326	XP_013818269.2
K27309	XP_013818270.2
K27309	XP_013818271.2
K15456	XP_013818286.2
K13208	XP_013818293.1
K22017	XP_013818306.2
K09211	XP_013818308.2
K04257	XP_013818313.2
K04257	XP_013818314.2
K07622	XP_013818325.2
K17847	XP_013818333.2
K09365	XP_013818334.2
K04372	XP_013818338.2
K17348	XP_013818344.1
K05764	XP_013818348.2
K08862	XP_013818357.2
K11324	XP_013818365.2
K18418	XP_013818366.1
K00781	XP_013818371.1
K06712	XP_013818378.1
K11461	XP_013818385.1
K25550	XP_013818432.2
K26053	XP_013818438.1
K16312	XP_013818444.1
K12751	XP_013818455.2
K24674	XP_013818457.1
K24674	XP_013818458.1
K09230	XP_013818466.2
K12357	XP_013818474.2
K11869	XP_013818477.2
K24837	XP_013818486.2
K09228	XP_013818487.1
K06238	XP_013818488.2
K06744	XP_013818552.2
K01593	XP_013818558.2
K08821	XP_013818570.2
K16551	XP_013818572.2
K16551	XP_013818573.2
K16551	XP_013818575.2
K17705	XP_013818576.1
K11967	XP_013818577.2
K24205	XP_013818578.1
K20356	XP_013818591.1
K01953	XP_013818604.1
K27397	XP_013818610.1
K27397	XP_013818611.1
K09431	XP_013818616.1
K09431	XP_013818617.1
K00901	XP_013818619.1
K00901	XP_013818620.1
K11409	XP_013818628.2
K06591	XP_013818636.2
K25803	XP_013818651.2
K06259	XP_013818660.1
K06259	XP_013818662.1
K06259	XP_013818663.1
K06259	XP_013818664.1
K06259	XP_013818665.1
K06259	XP_013818666.1
K10279	XP_013818673.1
K07936	XP_013818680.1
K05460	XP_013818691.1
K25432	XP_013818701.2
K13985	XP_013818703.2
K06249	XP_013818709.2
K08831	XP_013818711.1
K15260	XP_013818716.2
K15260	XP_013818727.2
K04319	XP_013818728.1
K05031	XP_013818759.2
K05099	XP_013818764.1
K05099	XP_013818765.1
K12958	XP_013818766.1
K15591	XP_013818768.1
K04302	XP_013818771.1
K04302	XP_013818772.1
K24492	XP_013818775.1
K13755	XP_013818786.2
K04667	XP_013818788.1
K23471	XP_013818793.2
K22647	XP_013818813.2
K21950	XP_013818820.2
K10903	XP_013818834.2
K08449	XP_013818838.2
K27756	XP_013818839.1
K24370	XP_013818840.2
K12407	XP_013818848.2
K18173	XP_013818850.1
K18173	XP_013818852.1
K13539	XP_013818856.1
K04892	XP_013818863.1
K24841	XP_013818864.1
K01558	XP_013818868.2
